0,Start,a,b,c,p,k,i,t,s,End
Start,0,0,0,0,0,0.06,0.66,0,0.21,0
a,0,0.23,0.73,0,0,0,0,0,0,0
b,0,0,0,0.9,0,0,0,0,0,0.05
c,0,0.49,0,0,0.1,0,0.27,0,0,0.1
p,0,0,0,0,0.05,0.06,0.42,0,0.28,0.2
k,0,0,0,0,0.12,0.57,0.14,0,0.1,0.06
i,0,0.33,0,0,0,0,0.32,0.34,0,0
t,0,0,0,0,0,0,0.97,0,0,0
s,0,0,0,0,0,0.45,0.15,0,0.27,0.12
End,0,0,0,0,0,0,0,0,0,0
