0,Start,a,b,c,p,k,i,t,s,End
Start,0,0,0,0,0,0,0.8,0,0.13,0
a,0,0.23,0.74,0,0,0,0,0,0,0
b,0,0,0,0.9,0,0,0,0,0,0.05
c,0,0.49,0,0,0.1,0,0.27,0,0,0.1
p,0,0,0,0,0.05,0.06,0.42,0,0.28,0.2
k,0,0,0,0,0.4,0.07,0.48,0,0,0.05
i,0,0.33,0,0,0,0,0.32,0.34,0,0
t,0,0,0,0,0,0,0.97,0,0,0
s,0,0,0,0,0,0.57,0.28,0,0.09,0
End,0,0,0,0,0,0,0,0,0,0
