0,Start,i,c,a,b,End,s,L
Start,0,0.84,0,0,0,0,0.16,0
i,0,0.44,0.53,0,0,0,0,0
c,0,0.09,0.12,0.62,0,0.07,0.08,0
a,0,0,0,0,0.98,0,0,0
b,0,0,0.98,0,0,0,0,0
End,0,0,0,0,0,0,0,0
s,0,0.1,0.3,0,0,0.17,0.07,0.34
L,0,0.15,0.21,0,0,0.42,0.12,0.09
