Bird name,Species,#1,#2,#3,#4,#5
BCC_M01,BCC,0.075859711,0.13561575,0.146925617,0.068862811,0.094960961
BCC_M03,BCC,0.047890081,0.173370181,0.108719324,0.078278038,0.214245433
BCC_M08,BCC,0.075774964,0.082548058,0.133694398,0.107794962,0.147446424
BCC_M09,BCC,0.072606426,0.173942159,0.127364915,0.10026607,0.130983385
BCC_M11,BCC,0.305826614,0.378066852,0.152590759,0.123250507,0.103784159
BCC_M19,BCC,0.076940223,0.151349933,0.10125049,0.081322287,0.094439073
BCC_M21,BCC,0.072234344,0.091326841,0.185059338,0.099515703,0.108349223
BCC_M22,BCC,0.114059653,0.146406824,0.176146912,0.268395365,0.107971076
BF_brn25pnk14,BF,0.050161752,0.066708392,0.061468496,0.086040864,0.093332088
BF_brn35pnk21,BF,0.053674372,0.055759628,0.062097964,0.059964616,0.057941044
BF_brn36pnk24,BF,0.045072641,0.050613926,0.050042833,0.052608541,0.051408411
BF_org27ylw19,BF,0.046518476,0.063937393,0.061481793,0.06641191,0.060742566
JF_red28blu13,JF,0.032137382,0.063907379,0.078725114,0.265918371,0.323747546
JF_ylw14gry00,JF,0.092016932,0.102546784,0.089988034,0.079711147,0.082083776
JF_ylw20gry09,JF,0.073118333,0.10257333,0.074718444,0.048171693,0.033239278
JF_ylw22gry08,JF,0.047149534,0.056318066,0.04700909,0.045709906,0.041555762
JF_ylw25gry11,JF,0.05403626,0.05491327,0.055109853,0.057225617,0.090161427
ZF_grn21org41,ZF,0.088907139,0.101949542,0.102460466,0.097646643,0.098361649
ZF_org01wht58,ZF,0.076456464,0.068346645,0.078971813,0.134882364,0.147109724
ZF_org11pnk05,ZF,0.082043234,0.083405134,0.075873582,0.074398716,0.090994929
ZF_pnk93pnk91,ZF,0.088064761,0.09479503,0.090505935,0.101896178,0.0966562
ZF_red15ylw15,ZF,0.034427239,0.044639143,0.05138974,0.070639068,0.118768717
ZF_red77pnk45,ZF,0.084770306,0.086347585,0.09373293,0.100142629,0.087651066
ZF_ylw67brn42,ZF,0.070997979,0.081905141,0.122969,0.138553202,0.175565602
ZF_ylw95ylw29,ZF,0.070046472,0.079080679,0.086676702,0.090200728,0.088081852
