0,Start,a,b,k,c,d,e,f,g,End
Start,0,0.43,0.04,0.52,0,0,0,0,0,0
a,0,0.13,0.82,0.01,0,0.02,0,0,0.01,0.01
b,0,0.08,0.14,0.17,0.49,0,0,0,0.11,0.01
k,0,0.13,0.71,0.13,0.01,0.01,0,0,0,0.01
c,0,0,0,0,0,0.99,0,0,0,0
d,0,0,0,0,0,0.01,0.98,0.02,0,0
e,0,0.01,0,0,0,0,0,0.99,0,0
f,0,0.63,0,0.01,0,0,0,0,0.32,0.04
g,0,0.67,0,0.05,0.25,0,0,0,0,0.03
End,0,0,0,0,0,0,0,0,0,0
